State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long
ABIA,ABA NORTH,EZIAMA,01-01-01-005,ABIA POLY - ABIA POLY I,138,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/005/005-1677396730.pdf,5.1354436,7.3536032
ABIA,ABA NORTH,INDUSTRIAL AREA,01-01-02-012,LEVER BROTHERS GATE- LEVER BROTHERS GATE IV,71,774,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,71,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/02/pu/012/012-1677409420.pdf,5.1206306,7.373296
ABIA,ABA NORTH,OSUSU I,01-01-03-002,OSUSU RD.PRI.SCHOOL-SCHOOL PREMISES II,156,883,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/54/result_160777_1677691483_thumb.jpg,5.1112902,7.3595897
ABIA,ABA NORTH,OSUSU II,01-01-04-004,OSUSU SECONDARY SCHOOL  - SCHOOL PREMISES IV,297,1678,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,2,287,7,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/77/result_160824_1677489715_thumb.jpg,5.1175203,7.3514613
ABIA,ABA NORTH,OSUSU II,01-01-04-014,BRIGHT WAY NURS. SCHOOL - SCHOOL PREMISES VII,144,934,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,1,2,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/87/result_160834_1677492427_thumb.jpg,5.1072265,7.3515588
ABIA,ABA NORTH,OSUSU II,01-01-04-016,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES I,173,877,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/89/result_160836_1677494664_thumb.jpg,5.5022163,7.2968287
ABIA,ABA NORTH,OSUSU II,01-01-04-018,POPE JOHN PAUL COLLEGE-SCHOOL PREMISES III,165,874,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,157,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/91/result_160838_1677493492_thumb.jpg,5.5022163,7.2968287
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-003,HOLY GHOST COMM. SCHOOL  - SCHOOL PREMISES III,119,877,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,105,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/003/003-1677405554.pdf,5.1144955,7.3551752
ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-017,ST. EUGENE'S PRIM. SCH.  - SCHOOL PREMISES V,142,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,138,2,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/017/017-1677415453.pdf,5.114527,7.3648613
ABIA,ABA NORTH,URATTA,01-01-06-008,URATTA COUNCIL HALL  - HALL PREMISES VIII,102,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,1,98,3,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118/result_160891_1677515718_thumb.jpg,5.1086374,7.3660727
ABIA,ABA NORTH,URATTA,01-01-06-021,STELLA MARIS SEC. SCHOOL  - SCHOOL PREMISES IV,68,653,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,3,57,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/131/result_160904_1677671962_thumb.jpg,5.1500392,7.3303532
ABIA,ABA NORTH,OLD ABA GRA,01-01-07-010,GULF COURSE PRIMARY SCHOOL  - SCHOOL PREMISES X,85,472,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,1,83,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/07/pu/010/010-1677414956.pdf,5.1153863,7.3641258
