,Unnamed: 0,State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,lat,long,lat,long
0,0,ABIA,ABA NORTH,EZIAMA,01-01-01-001,RAILWAY QUARTERS - RAILWAY QUARTERS I,85,968,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,7,56,25,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/01/pu/001/001-1677420870.pdf,5.1293773,7.3705639,,
1,1,ABIA,ABA NORTH,EZIAMA,01-01-01-002,RAILWAY QUARTERS - RAILWAY QUARTERS II,90,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/8/8-1677512048.pdf,5.1293773,7.3705639,,
2,2,ABIA,ABA NORTH,EZIAMA,01-01-01-003,RAILWAY QUARTERS - RAILWAY QUARTERS III,105,750,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,0,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3103/ward/17526/pu/9/9-1677512335.pdf,5.1293773,7.3705639,,
12,12,ABIA,ABA NORTH,ST.EUGENES BY OKIGWE RD.,01-01-05-019,EKWEREAZU TOWN HALL - TOWN HALL I,191,967,TRUE,-1,FALSE,TRUE,FALSE,FALSE,UNKNOWN,2,178,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/05/pu/019/019-1677416522.pdf,5.1127699,7.3530062,,
14,14,ABIA,ABA NORTH,URATTA,01-01-06-010,URATTA COUNCIL HALL  - HALL PREMISES X,97,750,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,96,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/120/result_160893_1677517115_thumb.jpg,5.1268221,7.3678624,,
15,15,ABIA,ABA NORTH,URATTA,01-01-06-017,URATTA COUNCIL HALL  - HALL PREMISES XVII,74,803,TRUE,-1,FALSE,FALSE,FALSE,FALSE,UNKNOWN,0,68,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/127/result_160900_1677485162_thumb.jpg,5.1268221,7.3678624,,
33,33,ABIA,ABA SOUTH,EZIUKWU,01-02-01-020,EZIUKWU EBENATOR HALL I (57 OMUMA ROAD),175,1215,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,109,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/325/result_161196_1677514672_thumb.jpg,5.1079215,7.3550758,,
42,42,ABIA,ABA SOUTH,OHAZU I,01-02-05-003,OHAZU I AKOLI HALL III,100,767,TRUE,-1,TRUE,FALSE,FALSE,FALSE,UNKNOWN,0,67,0,1,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/426/result_161392_1677508902_thumb.jpg,5.0929325,7.3921795,,
45,45,ABIA,ABA SOUTH,OHAZU I,01-02-05-028,OHAZU I-NNOFIA HALL II,83,731,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,0,79,1,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/451/result_161417_1677513558_thumb.jpg,5.0929325,7.3921795,,
48,48,ABIA,ABA SOUTH,GLOUCESTER,01-02-09-015,GLOUCESTER-MARKET ROAD PRIM. SCHOOL IX,111,632,TRUE,-1,TRUE,TRUE,FALSE,FALSE,UNKNOWN,0,99,4,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/09/pu/015/015-1677426973.pdf,5.1067614,7.376727,,
